State,Crop,Season,Year,Area,Production,Yield
Andaman and Nicobar Islands,Coconut,Whole Year,2018-19,18148.63,96180000.0,5299.573576628098
Andaman and Nicobar Islands,Coconut,Whole Year,2019-20,20070.48,112550000.0,5607.738330124641
Andaman and Nicobar Islands,Cowpea(Lobia),Rabi,2011-12,375.0,1929.3,5.1448
Andaman and Nicobar Islands,Cowpea(Lobia),Rabi,2012-13,390.0,2100.0,5.384615384615385
Andaman and Nicobar Islands,Cowpea(Lobia),Rabi,2013-14,587.0,3129.6,5.331516183986372
Andaman and Nicobar Islands,Cowpea(Lobia),Rabi,2014-15,588.9000000000001,2441.2,4.145355748004754
Andaman and Nicobar Islands,Cowpea(Lobia),Rabi,2015-16,571.0,3363.5,5.890542907180385
Andaman and Nicobar Islands,Cowpea(Lobia),Rabi,2016-17,2.0,0.0,0.0
Andaman and Nicobar Islands,Dry Ginger,Rabi,2007-08,204.93,1844.33,8.999804811399013
Andaman and Nicobar Islands,Dry Ginger,Summer,2008-09,199.0,1524.0,7.658291457286432
Andaman and Nicobar Islands,Dry Ginger,Summer,2009-10,210.0,1575.0,7.5
Andaman and Nicobar Islands,Dry chillies,Kharif,2007-08,218.2,410.3,1.8803849679193403
Andaman and Nicobar Islands,Dry chillies,Rabi,2007-08,145.12,273.54,1.8849228224917312
Andaman and Nicobar Islands,Dry chillies,Rabi,2010-11,394.0,575.0,1.4593908629441625
Andaman and Nicobar Islands,Dry chillies,Rabi,2011-12,385.0,580.0,1.5064935064935066
Andaman and Nicobar Islands,Dry chillies,Rabi,2012-13,397.0,605.0,1.5239294710327456
Andaman and Nicobar Islands,Dry chillies,Rabi,2013-14,329.5,641.3,1.9462822458270106
Andaman and Nicobar Islands,Dry chillies,Rabi,2014-15,310.6,974.1,3.13618802318094
Andaman and Nicobar Islands,Dry chillies,Rabi,2015-16,223.6,1032.5,4.617620751341682
Andaman and Nicobar Islands,Dry chillies,Rabi,2016-17,148.47,1473.83,9.926786556206642
Andaman and Nicobar Islands,Dry chillies,Rabi,2017-18,65.22999999999999,911.37,13.97163881649548
Andaman and Nicobar Islands,Dry chillies,Rabi,2018-19,205.55,780.99,3.7995135003648746
Andaman and Nicobar Islands,Dry chillies,Rabi,2019-20,73.09,313.43,4.288274729785196
Andaman and Nicobar Islands,Dry chillies,Summer,2008-09,382.0,559.0,1.463350785340314
Andaman and Nicobar Islands,Dry chillies,Summer,2009-10,393.0,574.0,1.460559796437659
Andaman and Nicobar Islands,Dry chillies,Whole Year,2002-03,652.0,49.7,0.07622699386503068
Andaman and Nicobar Islands,Dry chillies,Whole Year,2003-04,400.0,680.0,1.7
Andaman and Nicobar Islands,Dry chillies,Whole Year,2004-05,400.0,968.0,2.42
Andaman and Nicobar Islands,Dry chillies,Whole Year,2005-06,387.7,877.6,2.263605880835698
Andaman and Nicobar Islands,Dry chillies,Whole Year,2006-07,363.32,868.0,2.3890784982935154
Andaman and Nicobar Islands,Ginger,Rabi,2010-11,211.0,1850.0,8.76777251184834
Andaman and Nicobar Islands,Ginger,Rabi,2011-12,210.0,1855.0,8.833333333333334
Andaman and Nicobar Islands,Ginger,Rabi,2012-13,215.0,1910.0,8.883720930232558
Andaman and Nicobar Islands,Ginger,Rabi,2013-14,187.0,1417.6,7.580748663101604
Andaman and Nicobar Islands,Ginger,Rabi,2014-15,150.5,1420.5,9.438538205980066
Andaman and Nicobar Islands,Ginger,Rabi,2015-16,158.5,1822.5,11.498422712933754
Andaman and Nicobar Islands,Ginger,Rabi,2016-17,169.78,1863.31,10.974849805630816
